hostel.name,City,price.from,Distance,summary.score,rating.band,atmosphere,cleanliness,facilities,location.y,security,staff,valueformoney,lon,lat
Osaka Fuku Hostel Namba,Osaka,3000,4.5km from city centre,8.9,Fabulous,8.5,9,8.3,9.7,8.8,9.6,8.4,135.5041027,34.6665276
HOSTEL WASABI Osaka Bed with Library,Osaka,1500,4.5km from city centre,8.8,Fabulous,8.1,9.1,8.7,9.5,8.2,9.2,9,135.503826,34.666552
Backstage Osaka Hostel & Bar,Osaka,2200,4.5km from city centre,8.8,Fabulous,8.8,8.2,8.1,9.5,8.6,9.3,9.2,135.513299,34.6670083
Tani9 Backpackers Osaka,Osaka,2000,4.5km from city centre,9,Superb,8.8,8.9,8.6,9.5,9.2,9.5,8.7,135.513636,34.6670278
Osaka Fuku Hostel Nagomi,Osaka,3000,4.4km from city centre,9.3,Superb,8.7,9.6,9,9.8,8.9,9.6,9.2,135.50642,34.667318
HOSTEL HYAKU,Osaka,2700,4.4km from city centre,9.5,Superb,8.9,10,9.4,9.3,9.7,9.7,9.5,135.5109784,34.6676664
Dotombori Base,Osaka,2500,4.3km from city centre,8.7,Fabulous,8.6,8.3,7.7,9.7,8.6,9.4,8.9,135.5052683,34.6678045
Lore Hostel Dontonbori,Osaka,2000,4.3km from city centre,8.5,Fabulous,7.1,7.7,8.6,9.7,9.1,8.6,8.9,135.503853,34.667931
Hostel Enisia Namba,Osaka,3000,4.3km from city centre,9.3,Superb,8.7,9.2,9.3,10,9.5,9.3,9.2,135.503292,34.6681
Osaka GuestHouse KOMA,Osaka,1500,4.4km from city centre,8.3,Fabulous,8,7.5,7.8,9.1,7.9,9.1,8.8,135.4895197,34.6687377
Guest House La Kongo,Osaka,2500,4.2km from city centre,7.8,Very Good,6,8,7.5,9,8,8.5,7.5,135.5078668,34.6687802
"Kaneyoshi Ryokan, Namba Dotombori",Osaka,6500,4.2km from city centre,9.4,Superb,10,9,9,10,9,10,9,135.505474,34.66926
Hostel Q,Osaka,2900,4.2km from city centre,8.7,Fabulous,9,7.3,8,9.7,9,9.3,8.3,135.4986093,34.6692633
Picnic Hostel Osaka,Osaka,2000,4.4km from city centre,9.4,Superb,8.6,9.8,9.4,9.5,9.5,9.5,9.6,135.487358,34.6692926
Osaka Guesthouse SUN,Osaka,2300,4.3km from city centre,9.1,Superb,8.8,9,8.5,9.5,8.8,9.5,9.4,135.4918195,34.6693182
